date,doc_id,corporation,boss,law,action_cnt,rule_cnt
2016-02-26,北市勞動字第10530211800號,財團法人保險安定基金,林國彬,36,1,1
2016-02-26,北市勞動字第10531898900號,廣和坐月子生技股份有限公司,章卉如,36,1,1
2016-02-26,北市勞動字第10531898600號,新光三越百貨股份有限公司,吳東興,24,1,1
2016-02-26,北市勞動字第10439694400號,大維凱思特國際有限公司,周慧敏,24;32-1;49-1,1,3
2016-02-26,北市勞動字第10439578300號,天成飯店股份有限公司,張茂松,24;32-2,1,2
2016-02-26,北市勞動字第10439692700號,芝奇國際實業股份有限公司,黃于珍,70,1,1
2015-04-30,府勞動字第10431242200號,中國電視事業股份有限公司,林聖芬,30-5;32-2;36,1,3
2015-05-14,府勞動字第10432301500號,中天電視股份有限公司,蔡紹中,24;30-5;32-1;32-2;39;49-1;49-5,1,7
2015-06-02,府勞動字第10433371000號,昶和錦邊趖小吃店）,林旺枝,7-1;23-2;30-5,1,3
2015-06-11,府勞動字第10432145200號,立誠物流企業社）,謝文瑞,7-1;22-2;23-2;30-522-2;30-1,1,5
2015-06-15,府勞動字第10432135700號,法婕緹國際股份有限公司,李珍妮,22-2;30-1,1,2
2015-06-29,府勞動字第10432163700號,國弘公寓大廈管理維護有限公司,裴建銀,30-1;32-2;38,1,3
2015-07-01,府勞動字第10434042500號,台灣電力股份有限公司,黃重球,24;39;55-1,1,3
2015-07-02,府勞動字第10432240900號,蝶古巴特股份有限公司,葉依敏,30-5,1,1
2015-07-02,府勞動字第10433613100號,復興航空運輸股份有限公司,林明昇,59-14,1,1
2015-07-03,府勞動字第10432189300號,紘合有限公司,廖芳能,30-5,1,1
2015-07-08,府勞動字第10434604300號,聯宗保全股份有限公司,陳君瑋,24;30-1;32-2;39,1,4
2015-07-14,府勞動字第10434806100號,隆有貿易股份有限公司,楊義隆,32-2,1,1
2015-07-14,府勞動字第10434809200號,迪廣國際股份有限公司,練台生,32-2;39,1,2
2015-07-17,府勞動字第10433567100號,南僑化學工業股份有限公司,陳飛龍,37,1,1
2015-07-17,府勞動字第10401081100號,博仁綜合醫院,王建哲,24;36,1,2
2015-07-22,府勞動字第10434466000號,六星集股份有限公司,傅信欽,24,1,1
2015-07-24,府勞動字第10434839000號,臺灣電視事業股份有限公司,黃崧,30-5,1,1
2015-07-29,府勞動字第10433421200號,紅櫻花食品股份有限公司,許永明,22-2;24;39,1,3
2015-07-29,府勞動字第10434780700號,?得屋食品有限公司,陳美雲,21-1,1,1
2015-08-03,府勞動字第10433421400號,潔之方服務事業股份有限公司,黃昭贊,22-2;39,1,2
2015-08-10,府勞動字第10434671000號,好美時尚診所,樊曦野,30-5,1,1
2015-08-10,府勞動字第10434973700號,三多房屋仲介有限公司,王森裕,7-1;23-2,1,2
2015-08-17,府勞動字第10433575700號,震僖實業股份有限公司,許岳成,24;37,1,2
2015-08-18,府勞動字第10434767000號,天實商行）,劉豪舜,22-2;24,1,2
2015-08-24,府勞動字第10435856300號,艾葳國際商行),侯忠男,22-2;24,1,2
2015-08-24,府勞動字第10436693400號,首都客運股份有限公司,李博文,32-2,1,1
2015-08-31,府勞動字第10434599800號,貝特室內裝修設計有限公司,朱學淦,22-2,1,1
2015-08-31,府勞動字第10435031800號,基督復臨安息日會醫療財團法人臺安醫院,黃暉庭,30-1,1,1
2015-09-01,府勞動字第10434806600號,鴻集實業股份有限公司,林鑑堂,32-1,1,1
2015-09-03,府勞動字第10434846700號,麗優國際股份有限公司,蘇建義,30-5;32-2,1,2
2015-09-10,府勞動字第10434844200號,台灣中油股份有限公司,林聖忠,24;55-1,1,2
2015-10-21,府勞動字第10435966800號,郁氏實業有限公司,郁繼強,30-5,1,1
2015-10-23,府勞動字第10435564200號,路易威鐙保全股份有限公司,李香諄,22-2;24;30-5;39,1,4
2015-10-23,府勞動字第10436026200號,財團法人成長文教基金會,鄭淑敏,30-5,1,1
2015-10-28,府勞動字第10436725600號,奧文環球科技有限公司,邱鉅權,24,1,1
2015-10-29,府勞動字第10436024900號,長德有線電視股份有限公司,紀乃維,32-2,1,1
2015-11-02,府勞動字第10436743700號,創意熹有限公司,賴冠臻,24,1,1
2015-11-12,府勞動字第10435579300號,宏大不動產估價師聯合事務所）,卓輝華 君,32-2,1,1
2015-11-20,北市勞動字第10436186900號,歐特耐國際股份有限公司,李淑芬,30-5;36;37,1,3
2015-11-20,北市勞動字第10435612600號,康寧醫療財團法人康寧醫院,尹長生,32-2,1,1
2015-11-20,北市勞動字第10436884300號,多晶企業社),李佳穎,21-1;23-2;30-5,1,3
2015-12-01,北市勞動字第10435621700號,社團法人台灣阿甘精神發展協會,彭玉慧,23-2;30-5,1,2
2015-12-02,北市勞動字第10436208200號,大和抄手麵食館),林秉慕,23-2;30-5,1,2
2015-12-14,北市勞動字第10438282100號,裕原企業社）,林秋妹,59-14,1,1
2016-01-04,北市勞動字第10439571300號,貓頭鷹國際股份有限公司,劉世章,30-1,1,1
2016-01-04,北市勞動字第10436349000號,順怡旅行社股份有限公司,劉玉鵬,38,1,1
2016-01-04,北市勞動字第10436356100號,衣著品味國際精品有限公司,蔡昆陵,80,1,1
2016-01-04,北市勞動字第10439570300號,鑽網實業股份有限公司,王佳瑞,22-2,1,1
2016-01-04,北市勞動字第10439584100號,永聖貿易股份有限公司,吳盧漢檉,30-5,1,1
2016-01-04,北市勞動字第10439573200號,英屬維京群島商太古國際汽車股份有限公司台灣分公司,高振榮,9-1,1,1
2016-01-04,北市勞動字第10439577500號,繼德工業股份有限公司,李嘉淑,38,1,1
2016-01-04,北市勞動字第10436310300號,台北花園大酒店股份有限公司,張茂松,24;30-5;32-2,1,3
2016-01-04,北市勞動字第10436312900號,順益汽車股份有限公司,游木誠,30-1,1,1
2016-01-04,北市勞動字第10436298900號,臺灣阿斯特捷利康股份有限公司,馬赫群,32-2;36,1,2
2016-01-04,北市勞動字第10436310200號,美商新秀麗太平洋有限公司,林福平,24;30-5,1,2
2016-01-04,北市勞動字第10436299800號,米哥食品有限公司,江青雲,30-1;30-5,1,2
2016-01-04,北市勞動字第10436324700號,新東陽股份有限公司,麥寬成,30-5,1,1
2016-01-04,北市勞動字第10436301500號,鉅眾實業有限公司,林孟德,23-1,1,1
2016-01-04,北市勞動字第10436325400號,三澧企業股份有限公司,林建佑,24,1,1
2016-01-04,北市勞動字第10436301200號,友齊電腦器材股份有限公司,楊昌挺,24,1,1
2016-01-04,北市勞動字第10436310800號,凱星國際餐飲股份有限公司,蘇小惠,30-1,1,1
2016-01-04,北市勞動字第10436297800號,天鷹公寓大廈管理維護股份有限公司,歐憲瑜,30-1;30-5;36,1,3
2016-01-04,北市勞動字第10436300600號,金都精緻溫泉飯店股份有限公司,游瑞崇,21-1,1,1
2016-01-04,北市勞動字第10436299400號,荷蘭商海尼根股份有限公司台灣分公司,林承業,30-5,1,1
2016-01-04,北市勞動字第10436299900號,馬來西亞商億嘉全球有限公司台灣分公司,傅錦利,32-1,1,1
2016-01-04,北市勞動字第10436312600號,荷宴攝影廣告有限公司,鄭美珠,30-5;70,1,2
2016-01-04,北市勞動字第10436306600號,財團法人台北市私立愛愛院,陳松,24;30-1;32-3,1,3
2016-01-04,北市勞動字第10436291600號,豪紳纖維科技股份有限公司,陳明聰,22-2;24;32-1,1,3
2016-01-04,北市勞動字第10436291700號,當旗食品有限公司,蔡永忠,30-1;36,1,2
2016-01-04,北市勞動字第10436299700號,冠好股份有限公司,李凌明,38;70,1,2
2016-01-04,北市勞動字第10436292300號,英屬維京群島商克麗緹娜行銷有限公司台灣分公司,陳碧華,32-2,1,1
2016-01-04,北市勞動字第10436300200號,第一商業銀行股份有限公司,蔡慶年,24,1,1
2016-01-04,北市勞動字第10436300700號,正官庄股份有限公司,曹榮基,30-1;37,1,2
2016-01-05,北市勞動字第10440798200號,驊訊電子企業股份有限公司,鄭期成,24,1,1
2016-01-05,北市勞動字第10436314700號,艾爾教育股份有限公司,程拓之,24,1,1
2016-01-05,北市勞動字第10437308800號,豆腐村有限公司,劉遠有,32-2;36,1,2
2016-01-06,北市勞動字第10439552100號,臺北市私立展欣老人長期照顧中心(養護型),林金榮,30-1,1,1
2016-01-06,北市勞動字第10440828300號,阜立國際有限公司,李俊豪,30-1,1,1
2016-01-06,北市勞動字第10440828500號,利市商行),劉兆鎧,23-1,1,1
2016-01-06,北市勞動字第10436324600號,上盈國際育樂股份有限公司,莊起鳴,30-5,1,1
2016-01-07,北市勞動字第10439560900號,新加坡商視亨光學鏡片股份有限公司台灣分公司,沈鼎鈞,32-2,1,1
2016-01-08,北市勞動字第10436322300號,台灣威騰電子股份有限公司,雷麥可,30-5,1,1
2016-01-08,北市勞動字第10436347900號,國統聯合會計師事務所),陳澤岱,36,1,1
2016-01-08,北市勞動字第10436333500號,永冠行銷有限公司,劉俊義,80,1,1
2016-01-08,北市勞動字第10436333600號,三艾健康科技股份有限公司,鄭智超,30-5,1,1
2016-01-08,北市勞動字第10436328100號,宏燁資訊股份有限公司,王帥賢,24,1,1
2016-01-08,北市勞動字第10436346000號,弘甫工程股份有限公司,張世欽,36,1,1
2016-01-08,北市勞動字第10408438600號,中保寶貝城股份有限公司,林逸宣,37,1,1
2016-01-08,北市勞動字第10436357500號,食昌企業股份有限公司,蔡篤清,36,1,1
2016-01-08,北市勞動字第10439570400號,鉍富企業股份有限公司,阮永裳,36,1,1
2016-01-08,北市勞動字第10436334500號,回鴻國際有限公司,黃阿鳳,30-1;37;70,1,3
2016-01-11,北市勞動字第10439544800號,香港商福斯國際電視網有限公司台灣分公司,馬賽娜,24,1,1
2016-01-11,北市勞動字第10436327900號,旭隼科技股份有限公司,謝卓明,32-2,1,1
2016-01-11,北市勞動字第10436350200號,捷安特股份有限公司,劉金標,24,1,1
2016-01-11,北市勞動字第10436351600號,和興國際企業有限公司,鄭宇恩,30-5,1,1
2016-01-11,北市勞動字第10436350300號,季益順股份有限公司,陳凱威,36,1,1
2016-01-11,北市勞動字第10436345900號,軒昂有限公司,朱展逸,24,1,1
2016-01-11,北市勞動字第10436350400號,中華賓士汽車股份有限公司,劉禹策,30-5;36,1,2
2016-01-11,北市勞動字第10436334000號,台灣士瑞克保全股份有限公司,王慧明,36,1,1
2016-01-11,北市勞動字第10436351900號,拍拍企業股份有限公司,王傑,32-2,1,1
2016-01-11,北市勞動字第10436327800號,可遊餐飲有限公司,李可鈞,80,1,1
2016-01-11,北市勞動字第10436334700號,廣懋材料科技股份有限公司,許志霖,36,1,1
2016-01-11,北市勞動字第10436350500號,京華城股份有限公司,陳玉坤,32-2,1,1
2016-01-11,北市勞動字第10436322100號,景賀時尚診所),林振國,24;30-1,1,2
2016-01-11,北市勞動字第10436350100號,品愛眼鏡行）,蔡品正,30-1,1,1
2016-01-11,北市勞動字第10436351300號,漢諾威國際育樂股份有限公司,許安成,36,1,1
2016-01-11,北市勞動字第10436351500號,麗嬰國際股份有限公司,李明松,24,1,1
2016-01-11,北市勞動字第10436351800號,慶真國際有限公司,趙莉真,24,1,1
2016-01-11,北市勞動字第10436321900號,義美股份有限公司,高志尚,36,1,1
2016-01-12,北市勞動字第10436346500號,倍適得電器股份有限公司,彭亭玉,24,1,1
2016-01-12,北市勞動字第10439585100號,財團法人獎卿護理展望基金會,王仁宏,37,1,1
2016-01-13,北市勞動字第10436349100號,建華海產行),黃賜福,23-2;30-5,1,2
2016-01-14,北市勞動字第10439595500號,臺北市私立安安老人長期照顧中心),林姿君,30-1;30-5,1,2
2016-01-15,北市勞動字第10439584900號,福德滿股份有限公司,高橋光一郎,39,1,1
2016-01-15,北市勞動字第10439626900號,博客來數位科技股份有限公司,林丕容,32-1;32-2;49-1,1,3
2016-01-15,北市勞動字第10439572000號,鼎鼎大飯店股份有限公司,徐旭東,24,1,1
2016-01-15,北市勞動字第10439641900號,佑康股份有限公司,袁友萊,30-5,1,1
2016-01-15,北市勞動字第10439580500號,菊乃屋股份有限公司,菊地英晃,36,1,1
2016-01-15,北市勞動字第10439561100號,波仕特數位有限公司,張正和,30-5,1,1
2016-01-15,北市勞動字第10439571700號,社團法人中華民國軍人之友社,夏德玉,36,1,1
2016-01-15,北市勞動字第10530778000號,小禮物有限公司,蘇春金,22-2,1,1
2016-01-15,北市勞動字第10439586400號,德鴻科技股份有限公司,楊文祥,32-2,1,1
2016-01-15,北市勞動字第10439585800號,弘憶國際股份有限公司,葉佳紋,24,1,1
2016-01-15,北市勞動字第10436361700號,燦華工程有限公司,楊光燦,36,1,1
2016-01-15,北市勞動字第10439561200號,天母中銀山莊管理委員會),陳明堯,22-2;30-1,1,2
2016-01-18,北市勞動字第10439596600號,優創媒體科技有限公司,歐陽貞宜,22-2,1,1
2016-01-18,北市勞動字第10439659100號,柏鑫健康事業股份有限公司,陳尚義,24,1,1
2016-01-18,北市勞動字第10439610600號,費尼餐飲有限公司,徐和森,24;32-1,1,2
2016-01-18,北市勞動字第10439580300號,香港商歌帝梵亞洲有限公司台灣分公司,蔡明正,30-5,1,1
2016-01-18,北市勞動字第10439585000號,睿智杰股份有限公司,張馹珅,22-2,1,1
2016-01-18,北市勞動字第10439602500號,網路家庭國際資訊股份有限公司,詹宏志,24;49-1,1,2
2016-01-18,北市勞動字第10439571500號,台灣意美汽車股份有限公司,陳駿鴻,30-5,1,1
2016-01-22,北市勞動字第10439644400號,展圓國際股份有限公司,張寶鄰,36,1,1
2016-01-18,北市勞動字第10439571200號,仁和齋有限公司,潘美蓉,30-1;36;39,1,3
2016-01-18,北市勞動字第10439571100號,新台北有線電視股份有限公司,林德偉,32-2,1,1
2016-01-18,北市勞動字第10530731900號,昱捷股份有限公司,蔡棟國,30-1;32-2,1,2
2016-01-18,北市勞動字第10439579100號,科晟企業有限公司,林建益,80,1,1
2016-01-18,北市勞動字第10439432800號,社團法人臺北市天行者全人關懷協會,郭鵬霄,30-5,1,1
2016-01-19,北市勞動字第10439619100號,統一超商股份有限公司,羅智先,36,1,1
2016-01-19,北市勞動字第10439619000號,財團法人台北勝利附設勝利加油站,劉侃,37,1,1
2016-01-20,北市勞動字第10439619800號,樂雅樂食品股份有限公司,黃茂雄,24,1,1
2016-01-20,北市勞動字第10531030900號,安國國際科技股份有限公司,張琦棟,30-5;36,1,2
2016-01-20,北市勞動字第10439568000號,財團法人台北行天宮,葉文堂,30-1,1,1
2016-01-20,北市勞動字第10530724700號,互愛人文志業股份有限公司,吳春桂,24,1,1
2016-01-20,北市勞動字第10439583300號,美福飯店管理顧問股份有限公司,黃明仁,24;32-2,1,2
2016-01-20,北市勞動字第10439579400號,匯豐汽車股份有限公司,嚴凱泰,24;32-1,1,2
2016-01-20,北市勞動字第10439656300號,昇德人力派遣有限公司,陳榮福,30-5,1,1
2016-01-20,北市勞動字第10439637300號,穎潔實業有限公司,袁振林,38,1,1
2016-01-21,北市勞動字第10439677900號,興麗安有限公司,黃哲雄,23-1;32-2,1,2
2016-01-21,北市勞動字第10439694900號,順怡旅行社股份有限公司,劉玉鵬,65-1,1,1
2016-01-21,北市勞動字第10439585900號,中興保全股份有限公司,林孝信,9-1,1,1
2016-01-21,北市勞動字第10439584200號,誼欣國際有限公司,湛曜華,22-2;30-1;30-5,1,3
2016-01-21,北市勞動字第10439585200號,艾爾生活態度股份有限公司,盧威廷,24,1,1
2016-01-21,北市勞動字第10531029100號,孟翔有限公司,陳昱龍,32-2,1,1
2016-01-21,北市勞動字第10439582900號,希望娛樂事業有限公司,林格璽,32-2,1,1
2016-01-21,北市勞動字第10439585400號,香港商寶時鐘錶企業有限公司台灣分公司,林聯洸,22-2,1,1
2016-01-21,北市勞動字第10439611600號,棠朝國際有限公司,楊欽池,22-2;24;30-1;37,1,4
2016-01-21,北市勞動字第10439610900號,麟銳股份有限公司,薛寅東,30-5,1,1
2016-01-21,北市勞動字第10439553000號,立功花園新城管理委員會,唐瑞祥,30-5,1,1
2016-01-21,北市勞動字第10439596100號,瓏驤股份有限公司,施華林,32-2,1,1
2016-01-21,北市勞動字第10439627200號,優像數位媒體科技股份有限公司,何飛鵬,32-2,1,1
2016-01-22,北市勞動字第10439656200號,六藝文創有限公司,張芷藝,22-2;24;39,1,3
2016-01-22,北市勞動字第10439595900號,富利瀚有限公司,許雅婷,24,1,1
2016-01-22,北市勞動字第10439552200號,竹家莊有限公司,黃馥齡,30-1;36;38;39,1,4
2016-01-22,北市勞動字第10439552000號,千翔公寓大廈管理維護股份有限公司,黃平璋,24,1,1
2016-01-22,北市勞動字第10531005700號,世磊實業股份有限公司,曾增沐,21-1;32-2,1,2
2016-01-22,北市勞動字第10439700600號,正和機電技術工程有限公司,林佑珊,24,1,1
2016-01-22,北市勞動字第10439618900號,蘭溪美容股份有限公司,王世明,30-1,1,1
2016-01-22,北市勞動字第10439664700號,歐立食品股份有限公司,高銘裕,32-2,1,1
2016-01-22,北市勞動字第10439603000號,鱗鮨股份有限公司,蕭陳波,24,1,1
2016-01-25,北市勞動字第10439586300號,達多科技股份有限公司,張瑞峰,32-2,1,1
2016-01-25,北市勞動字第10439611900號,國立臺灣師範大學,張國恩,23-1,1,1
2016-01-25,北市勞動字第10439643900號,台灣蜜納國際股份有限公司,張耀煌,32-1;49-1,1,2
2016-01-25,北市勞動字第10439584800號,北達汽車股份有限公司,王中和,30-1,1,1
2016-01-26,北市勞動字第10439611700號,安杰物業經營顧問有限公司,陳品?,36,1,1
2016-01-26,北市勞動字第10439598100號,政大清境管理委員會,陳虹宇,24,1,1
2016-01-26,北市勞動字第10531037700號,香港商卓業服飾有限公司台灣分公司,蔡明昌,30-1,1,1
2016-01-26,北市勞動字第10439553200號,第一商業銀行股份有限公司,蔡慶年,30-5,1,1
2016-01-26,北市勞動字第10531083400號,萬相企業社),郭同會,22-2,1,1
2016-01-27,北市勞動字第10439641000號,欣臨企業股份有限公司,陳海天,24;32-1,1,2
2016-01-27,北市勞動字第10533097500號,國泰人壽保險股份有限公司,蔡宏圖,30-5,1,1
2016-01-27,北市勞動字第10439637100號,國興保全股份有限公司,王惠昌,32-2;36,1,2
2016-01-27,北市勞動字第10439557300號,伊克國際股份有限公司,吳四寶,30-1,1,1
2016-01-27,北市勞動字第10439633400號,台灣之星電信股份有限公司,趙國帥,30-5,1,1
2016-01-28,北市勞動字第10439642200號,基督復臨安息日會醫療財團法人臺安醫院,黃暉庭,30-5;32-2;36,1,3
2016-01-28,北市勞動字第10439627000號,御林保全股份有限公司,鄭晉祿,21-1;30-1;32-2,1,3
2016-01-28,北市勞動字第10439610100號,歡喜齋有限公司,郭淑梅,30-1;32-2,1,2
2016-01-28,北市勞動字第10439610200號,勃菱通訊有限公司,師永馨,37,1,1
2016-01-28,北市勞動字第10439618600號,百富通股份有限公司,方子雄,36,1,1
2016-01-28,北市勞動字第10439632300號,三民書局股份有限公司,劉振強,30-1;36;38,1,3
2016-01-28,北市勞動字第10439672500號,達楷國際有限公司,胡適年,22-2;30-1;30-5,1,3
2016-01-28,北市勞動字第10439695900號,永和順股份有限公司,陳光源,30-1,1,1
2016-01-28,北市勞動字第10439692900號,我尚網數位科技有限公司,呂宗熹,23-1;32-2,1,2
2016-01-29,北市勞動字第10439648400號,至上電子股份有限公司,葛均,22-2,1,1
2016-01-29,北市勞動字第10439611800號,怡客咖啡股份有限公司,何福仁,32-2,1,1
2016-01-29,北市勞動字第10439692200號,紘群有限公司,林長信,39,1,1
2016-01-29,北市勞動字第10439596400號,亞立田股份有限公司,陳奇祥,24;30-1;30-5,1,3
2016-01-29,北市勞動字第10439619500號,台灣黃帽汽車百貨股份有限公司,長?龍一,32-2,1,1
2016-01-29,北市勞動字第10439583000號,泛宏食品股份有限公司,陳文宏,30-1;30-5;49-1,1,3
2016-01-29,北市勞動字第10439619400號,芯晟科技股份有限公司,陳永吉,22-2,1,1
2016-01-29,北市勞動字第10530757100號,金盛世紙業有限公司,李澤民,24;32-2,1,2
2016-01-29,北市勞動字第10439647900號,太平洋崇光百貨股份有限公司,黃晴雯,24;32-2,1,2
2016-01-29,北市勞動字第10439658800號,中興大業巴士股份有限公司,呂奇龍,24;32-2;36,1,3
2016-01-29,北市勞動字第10439691500號,勝崴小吃店),謝明崴,23-2;30-5,1,2
2016-01-29,北市勞動字第10439690800號,聰泰科技開發股份有限公司,陳立民,36,1,1
2016-01-29,北市勞動字第10439694100號,震旦電信股份有限公司,林樂萍,32-2,1,1
2016-01-30,北市勞動字第10439619300號,滿源餐廳),李明芸,30-5,1,1
2016-01-30,北市勞動字第10439641200號,太魯閣國際股份有限公司,曾子倫,22-2,1,1
2016-01-30,北市勞動字第10439643800號,壹傳媒電視廣播股份有限公司,練台生,24;32-2;49-1,1,3
2016-01-30,北市勞動字第10530200300號,加州水果行),姜少捷,30-5,1,1
2016-01-30,北市勞動字第10439633800號,臺北醫學大學附設醫院,陳瑞杰,24;30-5;32-2,1,3
2016-01-30,北市勞動字第10530963700號,兆順食品有限公司,吳官德,32-2;36,1,2
2016-01-30,北市勞動字第10439596800號,台灣賓士股份有限公司,劉禹策,24,1,1
2016-01-30,北市勞動字第10439627800號,國泰醫療財團法人國泰綜合醫院,李發焜,39,1,1
2016-01-30,北市勞動字第10530148600號,正捷企業社,周鴻鈞,30-5,1,1
2016-01-30,北市勞動字第10440671000號,英屬百慕達商友邦人壽保險股份有限公司台灣分公司,陳嘉虎,24,1,1
2016-01-30,北市勞動字第10439640600號,國立臺灣大學醫學院附設醫院,何弘能,9-1;24;32-2;36;38,1,5
2016-01-30,北市勞動字第10439642700號,萬?股份有限公司,陳志叡,32-1,1,1
2016-01-30,北市勞動字第10439696000號,新加坡商欣格二十一服飾股份有限公司台灣分公司,黃國偉,30-1,1,1
2016-01-30,北市勞動字第10531190600號,台灣西敏旅行社有限公司,盧輝華,24;32-2,1,2
2016-01-30,北市勞動字第10439642900號,創業家兄弟股份有限公司,郭書齊,24,1,1
2016-01-30,北市勞動字第10439627100號,振興醫療財團法人振興醫院,李壽東,24;30-5;32-2,1,3
2016-01-30,北市勞動字第10439598300號,倫發科技有限公司,羅培拉,24,1,1
2015-04-13,府勞動字第10431161700號,勝利美橡膠股份有限公司,賴淑華,22-2;30-5;23-2,1,3
2015-04-30,府勞動字第10432293000號,遠見天下文化出版股份有限公司,高希均,32-2;24;30-5;32-1;49-1,1,5
2015-05-01,府勞動字第10432299400號,自由時報企業股份有限公司,吳阿明,36;22-2;24;30-5;32-1;30-1;49-1,1,7
2015-06-02,府勞動字第10432276500號,品盛國際餐飲股份有限公司,李岱蓉,22-2;24;37;30-1,1,4
2015-06-02,府勞動字第10432289600號,富台工程股份有限公司,劉啟通,74-2,1,1
2015-06-15,府勞動字第10432133100號,貝特室內裝修設計有限公司,朱學淦,22-2,1,1
2015-06-25,府勞動字第10432217700號,阿斯門亞洲有限公司,Stephan Assmann,24,1,1
2015-06-30,府勞動字第10432217600號,神菇玉生醫開發股份有限公司,林俊宇,30-5;21-1,1,2
2015-07-29,府勞動字第10433437500號,大誠染料有限公司,鄭文成,38,1,1
2015-04-09,府勞動字第10430885000號,臺拓國際實業有限公司,陳卿子,36;22-2;24,1,3
2015-05-29,府勞動字第10433556200號,英騰保全股份有限公司,李庭豪,21-1;24;30-1;32-2;36,1,5
2015-06-03,府勞動字第10433557700號,弘雅圖書股份有限公司,劉念華,24;30-5;37;39;43,1,5
2015-06-04,府勞動字第10432196900號,中華郵政股份有限公司,翁文祺,30-5,1,1
2015-06-10,府勞動字第10433391400號,嘉穗創意食品股份有限公司,陳智勇,36;22-2;32-2,1,3
2015-06-12,府勞動字第10433560600號,明曜清潔服務社）,黃美坤,39,1,1
2015-06-18,府勞動字第10433416700號,開泰豐國際股份有限公司,林命群,32-2;24;49-1,1,3
2015-06-18,府勞動字第10433428600號,晶華國際酒店股份有限公司,潘思亮,24,1,1
2015-06-30,府勞動字第10432175500號,和碩聯合科技股份有限公司,童子賢,24;32-1;32-2;49-1,1,4
2015-07-08,府勞動字第10434800700號,利茂貿易有限公司,黃俊傑,30-5,1,1
2015-07-22,府勞動字第10434831800號,東立出版社有限公司,黃美月,32-2;24;38,1,3
2015-07-28,府勞動字第10401126200號,源遠堂中醫診所),邱偉源,23-1,1,1
2015-07-29,府勞動字第104433425800號,台灣虎航股份有限公司余劍博,余劍博,24;30-5,1,2
2015-08-03,府勞動字第10433572200號,勤業眾信聯合會計師事務所,陳清祥,19;24;26;30-5;32-2,1,5
2015-08-20,府勞動字第10435840700號,一零四人力資源顧問股份有限公司,楊基寬,23-1,1,1
2015-10-08,府勞動字第10435968200號,御鼎整合行銷廣告有限公司,張麗玲,24;30-5,1,2
2015-10-08,府勞動字第10436879400號,欣華安中醫診所）,宋文英,21-1;30-1,1,2
2015-12-30,北市勞動字第10408462200號,財團法人中央通訊社,陳國祥,36,1,1
2015-11-27,北市勞動字第10440144900號,新加坡商惠普全球科技股份有限公司台灣分公司,蕭國坤,32-1,1,1
2015-12-31,北市勞動字第10436308600號,尚上儀器股份有限公司,許焜南,30-5,1,1
2015-12-30,北市勞動字第10439527300號,黃金健身器材用品店),陳丁印,21-1;39,1,2
2015-12-29,北市勞動字第10436351400號,鉅工實業股份有限公司,楊建礎,30-1;36;39,1,3
2015-12-29,北市勞動字第10436350700號,台北健身用品店),陳丁印,30-1;36;39,1,3
2015-12-29,北市勞動字第10436348700號,香港商雅虎資訊股份有限公司台灣分公司,鄒開蓮,30-5,1,1
2015-12-29,北市勞動字第10436310000號,彪達航空貨運承攬有限公司,何仁雲,24;38,1,2
2015-12-16,北市勞動字第10436272800號,葳皇時尚飯店有限公司,李必揚,22-2;24,1,2
2015-12-28,北市勞動字第10436299300號,桃美股份有限公司,方剛,24,1,1
2015-12-28,北市勞動字第10436333400號,立展資訊科技股份有限公司,吳昕陽,32-2,1,1
2015-12-28,北市勞動字第10436342900號,峰圃茶莊),蔣輝燦,30-1;37,1,2
2015-12-25,北市勞動字第10436269800號,發揚鋼鋁有限公司,徐美芳,38,1,1
2015-12-25,北市勞動字第10436270900號,臺北市私立聖心老人養護所,陸秀真,30-1,1,1
2015-12-25,北市勞動字第10436271700號,印菲股份有限公司,謝聰文,36,1,1
2015-12-25,北市勞動字第10436274900號,網石棒辣椒股份有限公司,鄧潤澤,24,1,1
2015-12-25,北市勞動字第10436275300號,漁拓企業股份有限公司,曾木坤,32-2,1,1
2015-12-25,北市勞動字第10436301100號,展業國際行銷股份有限公司,陳習全,22-2,1,1
2015-12-25,北市勞動字第10436333900號,弘第企業股份有限公司,徐景賢,32-2;49-1,1,2
2015-12-25,北市勞動字第10436275400號,神腦國際企業股份有限公司,賴峰偉,32-2,1,1
2015-12-25,北市勞動字第10436323900號,美連發國際企業開發有限公司,蔡佳容,36,1,1
2015-12-25,北市勞動字第10436308900號,新加坡商捷派有限公司台灣分公司,Martin Hordern,30-5,1,1
2015-12-18,北市勞動字第10436243200號,金城企業社),黃金城,30-5,1,1
2015-12-18,北市勞動字第10436279900號,臺北市私立學信文理短期補習班),李霙仟,24;36,1,2
2015-12-18,北市勞動字第10436231300號,福圓號食品有限公司,賈復華,30-1;39;70,1,3
2015-12-18,北市勞動字第10436276200號,台新餐飲設備股份有限公司,李博文,32-2,1,1
2015-12-17,北市勞動字第10436211500號,源映製作有限公司,賈弘源,24;30-5;32-2,1,3
2015-12-16,北市勞動字第10436230900號,臺北市私立建民老人長期照顧中心(養護型),曹寧,30-5,1,1
2015-12-16,北市勞動字第10436241600號,海森思實業有限公司,林森極,32-1,1,1
2015-12-16,北市勞動字第10436244200號,秋天日式關東煮),謝宗霖,30-1;39,1,2
2015-12-16,北市勞動字第10436279700號,志邦企業股份有限公司,陳明宏,24;32-2,1,2
2015-12-16,北市勞動字第10436207200號,台北市私立華安老人長期照護中心,葉錦珠,24,1,1
2015-12-16,北市勞動字第10436208300號,三摩地有限公司,陳若菁,49-1,1,1
